VAR_CODE;VAR_LIB;MOD_CODE;MOD_LIB
AGEREVQ;"Âge quinquennal en années révolues";035;"35 à 39 ans"
AGEREVQ;"Âge quinquennal en années révolues";040;"40 à 44 ans"
AGEREVQ;"Âge quinquennal en années révolues";045;"45 à 49 ans"
AGEREVQ;"Âge quinquennal en années révolues";050;"50 à 54 ans"
AGEREVQ;"Âge quinquennal en années révolues";055;"55 à 59 ans"
AGEREVQ;"Âge quinquennal en années révolues";060;"60 à 64 ans"
AGEREVQ;"Âge quinquennal en années révolues";065;"65 à 69 ans"
AGEREVQ;"Âge quinquennal en années révolues";070;"70 à 74 ans"
AGEREVQ;"Âge quinquennal en années révolues";075;"75 à 79 ans"
AGEREVQ;"Âge quinquennal en années révolues";080;"80 à 84 ans"
AGEREVQ;"Âge quinquennal en années révolues";085;"85 à 89 ans"
AGEREVQ;"Âge quinquennal en années révolues";090;"90 à 94 ans"
AGEREVQ;"Âge quinquennal en années révolues";095;"95 à 99 ans"
AGEREVQ;"Âge quinquennal en années révolues";100;"100 à 104 ans"
AGEREVQ;"Âge quinquennal en années révolues";105;"105 à 109 ans"
AGEREVQ;"Âge quinquennal en années révolues";110;"110 à 114 ans"
AGEREVQ;"Âge quinquennal en années révolues";115;"115 à 119 ans"
AGEREVQ;"Âge quinquennal en années révolues";120;"120 ans"
ANEMC;"Ancienneté d'emménagement condensée";0;"Depuis moins de 2 ans"
ANEMC;"Ancienneté d'emménagement condensée";1;"De 2 à 4 ans"
ANEMC;"Ancienneté d'emménagement condensée";2;"De 5 à 9 ans"
ANEMC;"Ancienneté d'emménagement condensée";3;"De 10 à 19 ans"
ANEMC;"Ancienneté d'emménagement condensée";4;"De 20 à 29 ans"
ANEMC;"Ancienneté d'emménagement condensée";5;"30 ans ou plus"
ANEMC;"Ancienneté d'emménagement condensée";9;"Logement ordinaire inoccupé"
ANEMC;"Ancienneté d'emménagement condensée";Z;"Hors logement ordinaire"
CATPC;"Catégorie de population condensée";0;"Population des ménages"
CATPC;"Catégorie de population condensée";1;"Population des communautés"
CATPC;"Catégorie de population condensée";2;"Population des habitations mobiles, sans abri, mariniers"
CS1;"Catégorie socioprofessionnelle en 8 postes";1;"Agriculteurs exploitants"
CS1;"Catégorie socioprofessionnelle en 8 postes";2;"Artisans, commerçants et chefs d'entreprise"
CS1;"Catégorie socioprofessionnelle en 8 postes";3;"Cadres et professions intellectuelles supérieures"
CS1;"Catégorie socioprofessionnelle en 8 postes";4;"Professions Intermédiaires"
CS1;"Catégorie socioprofessionnelle en 8 postes";5;"Employés"
CS1;"Catégorie socioprofessionnelle en 8 postes";6;"Ouvriers"
CS1;"Catégorie socioprofessionnelle en 8 postes";7;"Retraités"
CS1;"Catégorie socioprofessionnelle en 8 postes";8;"Autres personnes sans activité professionnelle"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";1;"Agriculteurs exploitants"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";2;"Artisans, commerçants et chefs d'entreprise"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";3;"Cadres et professions intellectuelles supérieures"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";4;"Professions Intermédiaires"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";5;"Employés"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";6;"Ouvriers"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";7;"Retraités"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";8;"Autres personnes sans activité professionnelle"
CSM;"Catégorie socioprofessionnelle de la personne de référence du ménage en 8 postes";Z;"Hors logement ordinaire"
DIPL_15;"Diplôme le plus élevé";A;"Aucun diplôme ou au mieux BEPC, brevet des collèges ou DNB"
DIPL_15;"Diplôme le plus élevé";B;"CAP, BEP"
DIPL_15;"Diplôme le plus élevé";C;"Baccalauréat (général, technologique, professionnel)"
DIPL_15;"Diplôme le plus élevé";D;"Diplôme d'études supérieures"
DIPL_15;"Diplôme le plus élevé";Z;"Hors champ (moins de 14 ans)"
DNAI;"Département de naissance (si né en France)"
EMPL;"Condition d'emploi";11;"En contrat d'apprentissage"
EMPL;"Condition d'emploi";12;"Placés par une agence d'intérim"
EMPL;"Condition d'emploi";13;"Emplois-jeunes, CES, contrats de qualification"
EMPL;"Condition d'emploi";14;"Stagiaires rémunérés en entreprise"
EMPL;"Condition d'emploi";15;"Autres emplois à durée limitée, CDD, contrat court, vacataire..."
EMPL;"Condition d'emploi";16;"Emplois sans limite de durée, CDI, titulaire de la fonction publique"
EMPL;"Condition d'emploi";21;"Non salariés : Indépendants"
EMPL;"Condition d'emploi";22;"Non salariés : Employeurs"
EMPL;"Condition d'emploi";23;"Non salariés : Aides familiaux"
EMPL;"Condition d'emploi";ZZ;"Sans objet"
INAI;"Indicateur du lieu de naissance";1;"Dans le département de résidence actuelle"
INAI;"Indicateur du lieu de naissance";2;"Dans un autre département de la région de résidence actuelle"
INAI;"Indicateur du lieu de naissance";3;"Hors de la région de résidence actuelle : en métropole"
INAI;"Indicateur du lieu de naissance";4;"Hors de la région de résidence actuelle : dans un DOM"
INAI;"Indicateur du lieu de naissance";5;"Hors de la région de résidence actuelle : dans un TOM-COM"
INAI;"Indicateur du lieu de naissance";6;"A l'étranger"
INATC;"Indicateur de nationalité condensé (Français/Étranger)";1;"Français"
INATC;"Indicateur de nationalité condensé (Français/Étranger)";2;"Etrangers "
IPONDI;"Poids de l'individu"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";0;"Commune ou arrondissement de rattachement"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";1;"Dans le même logement"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";2;"Dans un autre logement de la même commune"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";3;"Dans une autre commune du département"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";4;"Dans un autre département de la région"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";5;"Hors de la région de résidence actuelle : en métropole"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";6;"Hors de la région de résidence actuelle : dans un DOM"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";7;"Hors de la région de résidence actuelle : dans un TOM-COM"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";8;"A l'étranger dans l'Union Européenne (27 pays membres)"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";9;"A l'étranger hors Union Européenne"
IRAN;"Indicateur de résidence antérieure au 1er janvier de l'annéee précédente ";Z;"Individu né après le 01/01/N-1 (N étant l'année de collecte)"
IRANUU;"Indicateur urbain du lieu de résidence antérieure au 1er janvier de l'annéee précédente ";1;"Réside dans une commune rurale et résidait dans la même commune"
IRANUU;"Indicateur urbain du lieu de résidence antérieure au 1er janvier de l'annéee précédente ";2;"Réside dans une commune rurale et résidait hors de la commune"
IRANUU;"Indicateur urbain du lieu de résidence antérieure au 1er janvier de l'annéee précédente ";3;"Réside dans une commune urbaine et résidait dans la même commune"
IRANUU;"Indicateur urbain du lieu de résidence antérieure au 1er janvier de l'annéee précédente ";4;"Réside dans une commune urbaine et résidait dans une autre commune de la même unité urbaine"
IRANUU;"Indicateur urbain du lieu de résidence antérieure au 1er janvier de l'annéee précédente ";5;"Réside dans une commune urbaine et résidait hors de l'unité urbaine"
IRANUU;"Indicateur urbain du lieu de résidence antérieure au 1er janvier de l'annéee précédente ";Z;"Individu né après le 01/01/N-1 (N étant l'année de collecte)"
LPRM;"Lien à la personne de référence du ménage";1;"Personne de référence du ménage"
LPRM;"Lien à la personne de référence du ménage";2;"Conjoint de la personne de référence du ménage"
LPRM;"Lien à la personne de référence du ménage";3;"Enfant de la personne de référence du ménage ou de son conjoint"
LPRM;"Lien à la personne de référence du ménage";4;"Petit-enfant"
LPRM;"Lien à la personne de référence du ménage";5;"Ascendant"
LPRM;"Lien à la personne de référence du ménage";6;"Autre parent"
LPRM;"Lien à la personne de référence du ménage";7;"Ami"
LPRM;"Lien à la personne de référence du ménage";8;"Pensionnaire ou sous-locataire"
LPRM;"Lien à la personne de référence du ménage";9;"Domestique ou salarié logé"
LPRM;"Lien à la personne de référence du ménage";Z;"Hors logement ordinaire"
METRODOM;"Indicateur Métropole ou DOM du lieu de résidence";M;"France métropolitaine"
METRODOM;"Indicateur Métropole ou DOM du lieu de résidence";D;"DOM"
MOCO;"Mode de cohabitation";11;"Enfants d'un couple"
MOCO;"Mode de cohabitation";12;"Enfants d'une famille monoparentale"
MOCO;"Mode de cohabitation";21;"Adultes d'un couple sans enfant"
MOCO;"Mode de cohabitation";22;"Adultes d'un couple avec enfant(s)"
MOCO;"Mode de cohabitation";23;"Adultes d'une famille monoparentale"
MOCO;"Mode de cohabitation";31;"Hors famille dans ménage de plusieurs personnes"
MOCO;"Mode de cohabitation";32;"Personnes vivant seules"
MOCO;"Mode de cohabitation";40;"Personnes vivant hors ménage"
NA17;"Activité économique en 17 postes (NA - A17)";AZ;"Agriculture, sylviculture et pêche"
NA17;"Activité économique en 17 postes (NA - A17)";C1;"Fabrication de denrées alimentaires, de boissons et  de produits à base de tabac"
NA17;"Activité économique en 17 postes (NA - A17)";C2;"Cokéfaction et raffinage"
NA17;"Activité économique en 17 postes (NA - A17)";C3;"Fabrication d'équipements électriques, électroniques, informatiques ; fabrication de machines"
NA17;"Activité économique en 17 postes (NA - A17)";C4;"Fabrication de matériels de transport"
NA17;"Activité économique en 17 postes (NA - A17)";C5;"Fabrication d'autres produits industriels"
NA17;"Activité économique en 17 postes (NA - A17)";DE;"Industries extractives, énergie, eau, gestion des déchets et dépollution"
NA17;"Activité économique en 17 postes (NA - A17)";FZ;"Construction"
NA17;"Activité économique en 17 postes (NA - A17)";GZ;"Commerce ; réparation d'automobiles et de motocycles"
NA17;"Activité économique en 17 postes (NA - A17)";HZ;"Transports et entreposage"
NA17;"Activité économique en 17 postes (NA - A17)";IZ;"Hébergement et restauration"
NA17;"Activité économique en 17 postes (NA - A17)";JZ;"Information et communication"
NA17;"Activité économique en 17 postes (NA - A17)";KZ;"Activités financières et d'assurance"
NA17;"Activité économique en 17 postes (NA - A17)";LZ;"Activités immobilières"
NA17;"Activité économique en 17 postes (NA - A17)";MN;"Activités scientifiques et techniques ; services administratifs et de soutien"
NA17;"Activité économique en 17 postes (NA - A17)";OQ;"Administration publique, enseignement, santé humaine et action sociale"
NA17;"Activité économique en 17 postes (NA - A17)";RU;"Autres activités de services"
NA17;"Activité économique en 17 postes (NA - A17)";ZZ;"Sans objet"
NA5;"Activité économique regroupée en 5 postes";AZ;"Agriculture, sylviculture et pêche"
NA5;"Activité économique regroupée en 5 postes";BE;"Industrie manufacturière, industries extractives  et autres"
NA5;"Activité économique regroupée en 5 postes";FZ;"Construction"
NA5;"Activité économique regroupée en 5 postes";GU;"Commerce, transports et services divers"
NA5;"Activité économique regroupée en 5 postes";OQ;"Administration publique, enseignement, santé humaine et action sociale"
NA5;"Activité économique regroupée en 5 postes";ZZ;"Sans objet"
NPERR;"Nombre de personnes du ménage (regroupé)";1;"Une personne"
NPERR;"Nombre de personnes du ménage (regroupé)";2;"2 personnes"
NPERR;"Nombre de personnes du ménage (regroupé)";3;"3 personnes"
NPERR;"Nombre de personnes du ménage (regroupé)";4;"4 personnes"
NPERR;"Nombre de personnes du ménage (regroupé)";5;"5 personnes"
NPERR;"Nombre de personnes du ménage (regroupé)";6;"6 personnes ou plus"
NPERR;"Nombre de personnes du ménage (regroupé)";Z;"Hors logement ordinaire"
RECH;"Ancienneté de recherche d'emploi";0;"Ne recherche pas d'emploi"
RECH;"Ancienneté de recherche d'emploi";1;"Cherche un emploi depuis moins d'un an"
RECH;"Ancienneté de recherche d'emploi";2;"Cherche un emploi depuis plus d'un an"
RECH;"Ancienneté de recherche d'emploi";9;"Non déclaré (inactif)"
RECH;"Ancienneté de recherche d'emploi";Z;"Sans objet (en emploi)"
SEXE;"Sexe";1;"Hommes"
SEXE;"Sexe";2;"Femmes"
STOCD;"Statut d'occupation détaillé du logement";00;"Logement ordinaire inoccupé"
STOCD;"Statut d'occupation détaillé du logement";10;"Propriétaire"
STOCD;"Statut d'occupation détaillé du logement";21;"Locataire ou sous-locataire d'un logement loué vide non HLM"
STOCD;"Statut d'occupation détaillé du logement";22;"Locataire ou sous-locataire d'un logement loué vide HLM"
STOCD;"Statut d'occupation détaillé du logement";23;"Locataire ou sous-locataire d'un logement loué meublé ou d'une chambre d'hôtel"
STOCD;"Statut d'occupation détaillé du logement";30;"Logé gratuitement"
STOCD;"Statut d'occupation détaillé du logement";ZZ;"Hors logement ordinaire"
TACT;"Type d'activité";11;"Actifs ayant un emploi, y compris sous apprentissage ou en stage rémunéré."
TACT;"Type d'activité";12;"Chômeurs"
TACT;"Type d'activité";21;"Retraités ou préretraités"
TACT;"Type d'activité";22;"Elèves, étudiants, stagiaires non rémunéré de 14 ans ou plus"
TACT;"Type d'activité";23;"Moins de 14 ans"
TACT;"Type d'activité";24;"Femmes ou hommes au foyer"
TACT;"Type d'activité";25;"Autres inactifs"
TACTM;"Type d'activité de la personne de référence du ménage";11;"Actifs ayant un emploi, y compris sous apprentissage ou en stage rémunéré"
TACTM;"Type d'activité de la personne de référence du ménage";12;"Chômeurs"
TACTM;"Type d'activité de la personne de référence du ménage";21;"Retraités ou préretraités"
TACTM;"Type d'activité de la personne de référence du ménage";22;"Elèves, étudiants, stagiaires non rémunérés de 14 ans ou plus"
TACTM;"Type d'activité de la personne de référence du ménage";23;"Moins de 14 ans"
TACTM;"Type d'activité de la personne de référence du ménage";24;"Femmes ou hommes au foyer"
TACTM;"Type d'activité de la personne de référence du ménage";25;"Autres inactifs"
TACTM;"Type d'activité de la personne de référence du ménage";YY;"Hors résidence principale"
TACTM;"Type d'activité de la personne de référence du ménage";ZZ;"Hors logement ordinaire"
TRANS;"Mode de transport principal le plus souvent utilisé pour aller travailler";1;"Pas de transport"
TRANS;"Mode de transport principal le plus souvent utilisé pour aller travailler";2;"Marche à pied"
TRANS;"Mode de transport principal le plus souvent utilisé pour aller travailler";3;"Deux roues"
TRANS;"Mode de transport principal le plus souvent utilisé pour aller travailler";4;"Voiture, camion, fourgonnette"
TRANS;"Mode de transport principal le plus souvent utilisé pour aller travailler";5;"Transports en commun"
TRANS;"Mode de transport principal le plus souvent utilisé pour aller travailler";Z;"Sans objet"
TYPC;"Type de construction";1;"Bâtiment d'habitation d'un seul logement isolé"
TYPC;"Type de construction";2;"Bâtiment d'habitation d'un seul logement jumelé ou groupé de toute autre façon"
TYPC;"Type de construction";3;"Bâtiment d'habitation de 2 logements ou plus"
TYPC;"Type de construction";4;"Bâtiment à usage autre qu'habitation"
TYPC;"Type de construction";5;"Construction provisoire"
TYPC;"Type de construction";Z;"Hors logement ordinaire"
TYPL;"Type de logement";1;"Maison"
TYPL;"Type de logement";2;"Appartement"
TYPL;"Type de logement";3;"Logement-foyer"
TYPL;"Type de logement";4;"Chambre d'hôtel"
TYPL;"Type de logement";5;"Habitation de fortune"
TYPL;"Type de logement";6;"Pièce indépendante (ayant sa propre entrée)"
TYPL;"Type de logement";Z;"Hors logement ordinaire"
TYPMR;"Type de ménage regroupé (en 9 postes)";11;"Homme vivant seul"
TYPMR;"Type de ménage regroupé (en 9 postes)";12;"Femme vivant seule"
TYPMR;"Type de ménage regroupé (en 9 postes)";20;"Plusieurs personnes sans famille"
TYPMR;"Type de ménage regroupé (en 9 postes)";31;"Famille principale monoparentale composée d'un homme avec enfant(s)"
TYPMR;"Type de ménage regroupé (en 9 postes)";32;"Famille principale monoparentale composée d'une femme avec enfant(s)"
TYPMR;"Type de ménage regroupé (en 9 postes)";41;"Famille principale composée d'un couple de deux "actifs ayant un emploi""
TYPMR;"Type de ménage regroupé (en 9 postes)";42;"Famille principale composée d'un couple où seul un homme a le statut "d’actif ayant un emploi""
TYPMR;"Type de ménage regroupé (en 9 postes)";43;"Famille principale composée d'un couple où seule une femme a le statut "d’actif ayant un emploi""
TYPMR;"Type de ménage regroupé (en 9 postes)";44;"Famille principale composée d'un couple d’aucun "actif ayant un emploi""
TYPMR;"Type de ménage regroupé (en 9 postes)";ZZ;"Hors logement ordinaire"

